Abbreviation	Recon2Name	UniqueID	Degree in inhibition network	Database Names	KEGG Compound Type	PubChem CID	PubChem SID	HMDB	HMDB Kingdom	HMDB superClass	HMDB class	HMDB subClass
ncam	nicotinamide	C00153	4	Nicotinamide	Vitamins and Cofactors	936	3453	HMDB01406	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	N/A
cdpchol	cdpcholine	C00307	2	CDP-choline		13804	3601	HMDB01413	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
dolichol_L	dolichol, human liver homolog	C00381	2	Dolichol		24892719	3671	HMDB05176	Organic Compounds	Lipids	Prenol Lipids	Polyterpenes
frdp	farnesyl diphosphate	C00448	6	trans,trans-Farnesyl diphosphate		445713	3736	HMDB00961	Organic Compounds	Lipids	Prenol Lipids	Sesquiterpenes
udpglcur	udp_d_glucuronate	C00167	7	UDP-glucuronate		17473	3467	HMDB00935	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
grdp	geranyl diphosphate	C00341	4	Geranyl diphosphate		445995	3634	HMDB01285	Organic Compounds	Aliphatic Acyclic Compounds	Organic Oxoanionic Compounds	Organic Pyrophosphates
mev_R	(r)_mevalonate	C00418	5	(R)-Mevalonate		439230	3708	HMDB00227	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Beta Hydroxy Acids and Derivatives
5pmev	(r)_5_phosphomevalonate	C01107	2	(R)-5-Phosphomevalonate		439400	4339	HMDB01343	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Beta Hydroxy Acids and Derivatives
rbl_D	d_ribulose	C00309	1	D-Ribulose	Carbohydrates	439203	3603	HMDB00621	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
xylu_D	d_xylulose	C00310	3	D-Xylulose	Carbohydrates	439204	3604	HMDB01644	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
ura	uracil	C00106	9	Uracil	Nucleic acids	1174	3406	HMDB00300	Organic Compounds	Aromatic Cyclic Compounds	Diazines	Pyrimidines and Pyrimidine Derivatives
56dura	5,6_dihydrouracil	C00429	1	5,6-Dihydrouracil		649	3718	HMDB00076	Organic Compounds	Others	Diazines	Pyrimidines and Pyrimidine Derivatives
2pg	d_glycerate 2_phosphate	C00631	1	2-Phospho-D-glycerate		439278	3904	HMDB03391	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	N/A
cdpea	cdpethanolamine	C00570	2	CDP-ethanolamine		123727	3849	HMDB01564	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
2ameph	(2_aminoethyl)phosphonate	C03557	2	2-Aminoethylphosphonate		339	6353	HMDB11747	Organic Compounds	Others	Organic Phosphonic Acids and Derivatives	Organic Phosphonic Acids
C04295	Androst-5-ene-3beta,17beta-diol	C04295	1	Androstenediol	Steroids	10634	6955	HMDB03818	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
C05300	16alpha-Hydroxyestrone	C05300	1	16alpha-Hydroxyestrone	Hormones and transmitters	115116	7684	HMDB00313	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
ocdcaACP	octadecanoyl_acp (n_c18:0acp)	C04088	1	Octadecanoyl-[acyl-carrier protein]			6780	NA		Others		
f26bp	d_fructose 2,6_bisphosphate	C00665	6	beta-D-Fructose 2,6-bisphosphate		105021	3934	HMDB01047	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
2dr5p	2_deoxy_d_ribose 5_phosphate	C00673	1	2-Deoxy-D-ribose 5-phosphate		439288	3942	HMDB01031	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
f1p	d_fructose 1_phosphate	C01094	11	D-Fructose 1-phosphate		439394	4329	HMDB01076	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
tolbutamide	tolbutamide	C07148	3	Tolbutamide		5505	9357	HMDB15256	Organic Compounds	Aromatic Cyclic Compounds	Benzenesulfonamides	N/A
gdpfuc	gdp_l_fucose	C00325	2	GDP-L-fucose		10918995	3619	HMDB01095	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Nucleotide Sugars
fuc_L	l_fucose	C01019	3	6-Deoxy-L-galactose	Carbohydrates	17106	4264	HMDB00174	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
ggdp	geranylgeranyl diphosphate	C00353	2	Geranylgeranyl diphosphate		447277	3646	HMDB04486	Organic Compounds	Lipids	Prenol Lipids	Diterpenes
5fthf	5_formyltetrahydrofolate	C03479	3	Folinic acid		143	6294	HMDB01562	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
5dhf	pentaglutamyl folate (dhf)	HMDB06487	3	Pentaglutamyl folate		77494	73374	HMDB06487	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
cynt	Cyanate	C01417	2	Cyanate		540	4604	HMDB02078	Organic Compounds	Aliphatic Acyclic Compounds	Nitriles	N/A
mescon	mesaconate	C01732	1	Mesaconate		638129	4868	HMDB00749	Organic Compounds	Lipids	Fatty Acids and Conjugates	Branched Fatty Acids
dtdpglu	dtdpglucose	C00842	5	dTDP-glucose		443210	4099	HMDB01328	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
dtdprmn	dtdp_l_rhamnose	C03319	1	dTDP-L-rhamnose		121966	6171	HMDB06354	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
avite1	alpha_tocopherol	C02477	3	alpha-Tocopherol	Vitamins and Cofactors	14985	5492	HMDB01893	Organic Compounds	Lipids	Prenol Lipids	Quinone and Hydroquinone Lipids
gm3_hs	ganglioside gm3 (homo sapiens)	C04730	3	GM3	Lipids		7301	HMDB04842	Organic Compounds	Lipids	Sphingolipids	Neutral Glycosphingolipids
gm1_hs	ganglioside gm1 (homo sapiens)	C04911	3	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	Lipids		7461	HMDB04853	Organic Compounds	Lipids	Sphingolipids	Neutral Glycosphingolipids
gd3_hs	gd3 (homo sapiens)	C06133	2	GD3			8390	HMDB04911	Organic Compounds	Lipids	Sphingolipids	Neutral Glycosphingolipids
gal1p	alpha_d_galactose 1_phosphate	C00446	4	alpha-D-Galactose 1-phosphate		123912	3734	HMDB00645	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
udpacgal	udp_n_acetyl_d_galactosamine	C00203	4	UDP-N-acetyl-D-galactosamine		23724461	3503	HMDB00304	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
udpxyl	udp_d_xylose	C00190	5	UDP-D-xylose		23724459	3490	HMDB01018	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
13dpg	3_phospho_d_glyceroyl phosphate	C00236	4	3-Phospho-D-glyceroyl phosphate		439191	3535	HMDB01270	Organic Compounds	Others	Organic Phosphoric Acids and Derivatives	Organophosphate Esters
glyclt	glycolate	C00160	7	Glycolate		757	3460	HMDB00115	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Alpha Hydroxy Acids and Derivatives
gcald	glycolaldehyde	C00266	3	Glycolaldehyde		756	3564	HMDB03344	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Primary Alcohols
pydam	pyridoxamine	C00534	5	Pyridoxamine	Vitamins and Cofactors	1052	3816	HMDB01431	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridoxamines
pdx5p	pyridoxine 5_phosphate	C00627	2	Pyridoxine phosphate		1055	3900	HMDB01319	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridoxines
dhlam	dihydrolipoamide	C00579	1	Dihydrolipoamide		663	3858	HMDB00985	Organic Compounds	Aliphatic Acyclic Compounds	Thiols	Alkylthiols
methf	5,10_methenyltetrahydrofolate	C00445	1	5,10-Methenyltetrahydrofolate		439237	3733	HMDB01354	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
malthx	Maltohexaose	C01936	1	Maltohexaose		439606	5041	HMDB12253	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Oligosaccharides	Hexose Oligosaccharides
malthp	maltoheptaose	HMDB13000	1	Maltoheptaose		1108364	53481574	HMDB13000	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Oligosaccharides	Hexose Oligosaccharides
CE2838	maltononaose	HMDB13001	1	Maltononaose		8964129	53481575	HMDB13001	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Oligosaccharides	Hexose Oligosaccharides
estradiolglc	estradiol glucuronide	C05503	1	Estradiol-17beta 3-glucuronide		440713	7856	HMDB06224	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Steroidal Glycosides
dolp_L	dolichol phosphate, human liver homolog	C00110	2	Dolichyl phosphate		24892715	3410	HMDB06353	Organic Compounds	Lipids	Prenol Lipids	Sesquiterpenes
naglc2p_L	n_acetyl_d_glucosaminyldiphosphodolichol, human liver homolog	C04500	1	N-Acetyl-D-glucosaminyldiphosphodolichol		24892748	7114	HMDB01445	Organic Compounds	Lipids	Prenol Lipids	Sesquiterpenes
taur	taurine	C00245	1	Taurine		1123	3544	HMDB00251	Organic Compounds	Organic Acids and Derivatives	Sulfonic Acids and Derivatives	N/A
adpglc	adpglucose	C00498	6	ADP-glucose		16500	3781	HMDB06557	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Nucleotide Sugars
23dpg	2,3_disphospho_d_glycerate	C01159	2	2,3-Bisphospho-D-glycerate		186004	4387	HMDB01294	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	N/A
man1p	d_mannose 1_phosphate	C00636	5	D-Mannose 1-phosphate		439279	3909	HMDB06330	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
tre	trehalose	C01083	3	alpha,alpha-Trehalose	Carbohydrates	7427	4320	HMDB00975	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Disaccharides	Dihexoses
adpman	adpmannose	C06192	1	ADP-mannose		440940	8442	HMDB06369	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Nucleotide Sugars
4hpro_LT	trans_4_hydroxy_l_proline	C01157	2	Hydroxyproline	Peptides	5810	4385	HMDB00725	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
5oxpro	5_oxoproline	C01879	3	Pidolic acid	Peptides	7405	4992	HMDB00267	Organic Compounds	Others	Pyrrolidines	Pyrrolidine Carboxylic Acids and Derivatives
hom_L	l_homoserine	C00263	3	L-Homoserine	Peptides	12647	3561	HMDB00719	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
thym	thymine	C00178	3	Thymine	Nucleic acids	1135	3478	HMDB00262	Organic Compounds	Aromatic Cyclic Compounds	Diazines	Pyrimidines and Pyrimidine Derivatives
ru5p_D	d_ribulose 5_phosphate	C00199	1	D-Ribulose 5-phosphate		439184	3499	NA		Others		
vacccoa	vaccenyl coenzyme a	HMDB06521	1	cis-Vaccenoyl CoA		1276506	53477847	HMDB06521	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
melatn	melatonin	C01598	4	Melatonin	Hormones and transmitters	896	4752	HMDB01389	Organic Compounds	Aromatic Cyclic Compounds	Indoles	Tryptamines and Derivatives
dhbpt	6,7_dihydrobiopterin	C00268	3	Dihydrobiopterin		133246	3566	HMDB02215	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
thbpt	tetrahydrobiopterin	C00272	6	Tetrahydrobiopterin	Vitamins and Cofactors	44257	3570	HMDB00027	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
CE2705	quinonoid dihydrobiopterin	C02953	3	7,8-Dihydrobiopterin		119055	5871	HMDB00038	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
mi145p	1d_myo_inositol 1,4,5_trisphosphate	C01245	3	D-myo-Inositol 1,4,5-trisphosphate		439456	4466	HMDB01498	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
aldstrn	aldosterone	C01780	2	Aldosterone	Steroids!Hormones and transmitters	5839	4910	HMDB00037	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
urate	urate	C00366	4	Urate		1175	3657	HMDB00289	Organic Compounds	Aromatic Cyclic Compounds	Imidazopyrimidines	Purines and Purine Derivatives
prpp	5_phospho_alpha_d_ribose 1_diphosphate	C00119	2	5-Phospho-alpha-D-ribose 1-diphosphate		7339	3419	HMDB00280	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
acglu	n_acetyl_l_glutamate	C00624	2	N-Acetyl-L-glutamate		70914	3897	HMDB01138	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
srb_L	L-Sorbose	C00247	3	L-Sorbose	Carbohydrates	439192	3546	NA		Others		
man6p	d_mannose 6_phosphate	C00275	4	D-Mannose 6-phosphate		65127	3572	HMDB01078	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
4hphac	4_hydroxyphenylacetate	C00642	4	4-Hydroxyphenylacetate		127	3915	HMDB00020	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Tyrosols and Derivatives
urcan	urocanate	C00785	1	Urocanate		736715	4043	HMDB00301	Organic Compounds	Aromatic Cyclic Compounds	Azoles	Imidazoles
Lfmkynr	l_formylkynurenine	C02700	1	L-Formylkynurenine		439788	5664	HMDB60485	Organic Compounds	Others	Benzene and Substituted Derivatives	Butyrophenones
hmgcoa	hydroxymethylglutaryl_coa	C00356	2	(S)-3-Hydroxy-3-methylglutaryl-CoA		445127	3649	HMDB01375	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
C05299	2-Methoxyestrone	C05299	1	2-Methoxyestrone		440624	7683	HMDB00010	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
vitd3	vitamin d3	C05443	1	Vitamin D3	Vitamins and Cofactors	5280795	7805	HMDB00876	Organic Compounds	Lipids	Prenol Lipids	Sesterterpenes
itacon	itaconate	C00490	1	Itaconate		811	3773	HMDB02092	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
dmpp	dimethylallyl diphosphate	C00235	2	Dimethylallyl diphosphate		647	3534	HMDB01120	Organic Compounds	Aliphatic Acyclic Compounds	Organic Oxoanionic Compounds	Organic Pyrophosphates
tagat_D	d_tagatose	C00795	1	D-Tagatose	Carbohydrates	439312	4053	HMDB03418	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
glyc_R	(r)_glycerate	C00258	2	D-Glycerate		439194	3557	HMDB00139	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	N/A
crmp_hs	ceramide 1_phosphate	C02960	3	Ceramide 1-phosphate			5876	NA		Others		
leuktrA4	leukotriene a4	C00909	2	Leukotriene A4	Lipids	5280383	4164	HMDB01337	Organic Compounds	Lipids	Eicosanoids	Leukotrienes
dna	dna	C00039	2	DNA			3341	NA		Others		
HC02223	mitoACP	C02378	3	6-Aminohexanoate		564	5420	HMDB01901	Organic Compounds	Lipids	Fatty Acids and Conjugates	Amino Fatty Acids
HC00229	Isomaltose	C00252	1	Isomaltose	Carbohydrates	439193	3551	HMDB02923	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Disaccharides	Dihexoses
4fumacac	4_fumarylacetoacetate	C01061	1	4-Fumarylacetoacetate		5280398	4300	HMDB01268	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Medium-chain Keto Acids and Derivatives
selmeth	selenomethionine	C05335	2	L-Selenomethionine		105024	7713	HMDB03966	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
5dpmev	(r)_5_diphosphomevalonate	C01143	2	(R)-5-Diphosphomevalonate		439418	4374	HMDB01090	Organic Compounds	Aliphatic Acyclic Compounds	Organic Oxoanionic Compounds	Organic Pyrophosphates
3mb2coa	3_methylbut_2_enoyl_coa	C03069	1	3-Methylcrotonyl-CoA		9549326	5969	HMDB01493	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
2pglyc	2_phosphoglycolate	C00988	8	2-Phosphoglycolate		529	4234	HMDB00816	Organic Compounds	Others	Organic Phosphoric Acids and Derivatives	Organophosphate Esters
mi1345p	1d_myo_inositol 1,3,4,5_tetrakisphosphate	C01272	3	1D-myo-Inositol 1,3,4,5-tetrakisphosphate		107758	4491	HMDB01059	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
mi13456p	1d_myo_inositol 1,3,4,5,6_pentakisphosphate	C01284	1	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate		439468	4503	HMDB03529	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
mi134p	1d_myo_inositol 1,3,4_trisphosphate	C01243	1	1D-myo-Inositol 1,3,4-trisphosphate		439455	4464	HMDB01143	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
mi1p_D	1d_myo_inositol 1_phosphate	C01177	1	Inositol 1-phosphate		107737	4404	HMDB02985	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
glutcoa	glutaryl_coa	C00527	3	Glutaryl-CoA		3081383	3810	HMDB01339	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
mmcoa_R	(r)_methylmalonyl_coa	C01213	1	(R)-Methylmalonyl-CoA		449534	4435	HMDB02255	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
r1p	alpha_d_ribose 1_phosphate	C00620	2	alpha-D-Ribose 1-phosphate		439236	3894	HMDB01489	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
mlthf	5,10_methylenetetrahydrofolate	C00143	2	5,10-Methylenetetrahydrofolate		439175	3443	HMDB01533	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
gd1a_hs	gd1a (homo sapiens)	C04927	1	N-Acetylneuraminyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide			7473	NA		Others		
gt1b_hs	gt1b (homo sapiens)	C06140	1	GT1b			8396	NA		Others		
gd1b_hs	gd1b (homo sapiens)	C06141	1	GD1b			8397	NA		Others		
gm1b_hs	gm1b (homo sapiens)	G00125	1	GM1b			NA	NA		Others		
nicrnt	nicotinate d_ribonucleotide	C01185	1	Nicotinate D-ribonucleotide		121992	4411	HMDB01132	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyridine Nucleotides	Nicotinic Acid Nucleotides
glucys	gamma_l_glutamyl_l_cysteine	C00669	1	gamma-L-Glutamyl-L-cysteine		123938	3938	HMDB01049	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
cgly	cys_gly	C01419	2	Cys-Gly		439498	4606	HMDB00078	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
perillyl	perillyl alcohol	C02452	1	Perillyl alcohol		369312	5472	HMDB03634	Organic Compounds	Lipids	Prenol Lipids	Monoterpenes
HC02214	prostaglandin-f1alpha	C06475	2	Prostaglandin F1alpha	Lipids	5280939	8707	HMDB02685	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
C02356	(S)-2-Aminobutanoate	C02356	1	(S)-2-Aminobutanoate		80283	5403	HMDB00452	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
nifedipine	nifedipine	C07266	4	Nifedipine		4485	9475	HMDB15247	Organic Compounds	Aromatic Cyclic Compounds	Hydropyridines	Dihydropyridines
orn_D	d_ornithine	C00515	1	D-Ornithine		71082	3798	HMDB03374	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
13dampp	1,3_diaminopropane	C00986	6	1,3-Diaminopropane		428	4233	HMDB00002	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	Polyamines
acorn	n2_acetyl_l_ornithine	C00437	1	N-Acetylornithine		439232	3726	HMDB03357	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
csn	cytosine	C00380	1	Cytosine	Nucleic acids	597	3670	HMDB00630	Organic Compounds	Aromatic Cyclic Compounds	Diazines	Pyrimidines and Pyrimidine Derivatives
prgnlone	pregnenolone	C01953	5	Pregnenolone	Steroids!Hormones and transmitters	8955	5056	HMDB00253	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
17ahprgnlone	17alpha_hydroxypregnenolone	C05138	2	17alpha-Hydroxypregnenolone	Hormones and transmitters	440573	7557	HMDB00363	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
xol7ah2	3alpha,7alpha_dihydroxy_5beta_cholestane	C05452	1	3alpha,7alpha-Dihydroxy-5beta-cholestane		3080603	7814	HMDB06893	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
xoltriol	3alpha,7alpha,12alpha_trihydroxy_5beta_cholestane	C05454	1	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane		160520	7816	HMDB01457	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
tdchola	taurochenodeoxycholate	C05465	2	Taurochenodeoxycholate		387316	7825	HMDB00951	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
C01601	nonanoate	C01601	2	Nonanoic acid		8158	4755	HMDB00847	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
estrones	estrone 3_sulfate	C02538	4	Estrone 3-sulfate	Hormones and transmitters	3001028	5545	HMDB01425	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Sulfated Steroids
CE5536	adrenochrome	HMDB12884	2	Adrenochrome		158980	5898	HMDB12884	Organic Compounds	Others	Benzoquinones	N/A
hpyr	hydroxypyruvate	C00168	2	Hydroxypyruvate		964	3468	HMDB01352	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Beta Hydroxy Acids and Derivatives
3spyr	3_sulfopyruvate	C05528	1	3-Sulfopyruvate		440717	7871	HMDB04045	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Alpha Keto-Acids and Derivatives
3php	3_phosphohydroxypyruvate	C03232	1	3-Phosphonooxypyruvate		105	6103	HMDB01024	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Alpha Keto-Acids and Derivatives
leuktrC4	leukotriene c4	C02166	2	Leukotriene C4	Lipids	5280493	5241	HMDB01198	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
s7p	sedoheptulose 7_phosphate	C05382	2	Sedoheptulose 7-phosphate		165007	7756	NA		Others		
prostgh2	prostaglandin h2	C00427	2	Prostaglandin H2	Lipids	445049	3717	HMDB01381	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
CE6234	prostaglandin H1	HMDB13041	1	Prostaglandin H1		3224815	50921242	HMDB13041	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
pgp_hs	phosphatidyl glycerol phosphate (homo sapiens)	C03892	1	Phosphatidylglycerophosphate			6624	NA		Others		
spc_hs	sphingosylphosphorylcholine (homo sapiens)	C03640	1	Sphingosyl-phosphocholine		5280613	6422	HMDB06482	Organic Compounds	Lipids	Sphingolipids	Lysosphingomyelins and Lysoglycosphingolipids
pail45p_hs	phosphatidylinositol 4,5_bisphosphate (homo sapiens)	C04637	1	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate			7226	NA		Others		
pail4p_hs	1_phosphatidyl_1d_myo_inositol 4_phosphate (homo sapiens)	C01277	1	1-Phosphatidyl-1D-myo-inositol 4-phosphate			4496	NA		Others		
ha	hyaluronan	C00518	3	Hyaluronate			3801	HMDB02061	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Disaccharides	Dihexoses
pnto_R	(r)_pantothenate	C00864	1	Pantothenate	Vitamins and Cofactors	6613	4121	HMDB00210	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	1,3-Aminoalcohols
pan4p	pantetheine 4_phosphate	C01134	2	Pantetheine 4'-phosphate		115254	4365	HMDB01416	Organic Compounds	Others	Organic Phosphoric Acids and Derivatives	Organophosphate Esters
4ppcys	n_((r)_4_phosphopantothenoyl)_l_cysteine	C04352	1	(R)-4'-Phosphopantothenoyl-L-cysteine		440304	7001	HMDB01117	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptidomimetics	Hybrid Peptides
dheas	dehydroepiandrosterone sulfate	C04555	1	Dehydroepiandrosterone sulfate	Hormones and transmitters	12594	7160	HMDB01032	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Sulfated Steroids
prgnlones	pregnenolone sulfate	C18044	1	3beta-Hydroxypregn-5-en-20-one sulfate		105074	96024264	NA		Others		
sphs1p	sphingosine 1_phosphate	C06124	1	Sphingosine 1-phosphate		5283560	8381	HMDB00277	Organic Compounds	Lipids	Sphingolipids	N/A
sebacid	sebacicacid	C08277	2	Sebacic acid		5192	10475	HMDB00792	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
pppg9	protoporphyrinogen ix	C01079	1	Protoporphyrinogen IX		121893	4317	HMDB01097	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Porphyrins
q10	ubiquinone_10	C11378	1	Ubiquinone-10	Vitamins and Cofactors	5281915	13552	HMDB01072	Organic Compounds	Lipids	Prenol Lipids	Quinone and Hydroquinone Lipids
g3pc	sn_glycero_3_phosphocholine	C00670	1	sn-Glycero-3-phosphocholine		439285	3939	HMDB00086	Organic Compounds	Lipids	Glycerophospholipids	Glycerophosphocholines
aprut	n_acetylputrescine	C02714	1	N-Acetylputrescine		122356	5677	HMDB02064	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Carboxylic Acid Derivatives
CE1162	vitamin A2	HMDB13117	1	Vitamin A2		4369446	6436043	HMDB13117	Organic Compounds	Lipids	Prenol Lipids	Retinoids
3ump	3-UMP(2-)	C01368	2	3'-UMP		101543	4567	HMDB60282	Organic Compounds	Others	Carbohydrates and Carbohydrate Conjugates	Monosaccharides
aflatoxin	aflatoxin b1	C06800	1	Aflatoxin B1		14403	9019	HMDB06552	Organic Compounds	Aromatic Cyclic Compounds	Aflatoxins	Difurocoumarocyclopentenone Series
